(1001,402)
(1002,812)
(1003,468)
(1004,429)
(1005,522)
(1006,992)
(1007,441)
(1008,271)
(1009,588)
(1010,40)
(1011,441)
(1012,183)
(1013,203)
(1014,196)
(1015,487)
(1016,252)
(1017,7)
(1018,262)
(1019,626)
(1020,882)
(1021,614)
(1022,986)
(1023,243)
(1024,7)
(1025,619)
(1026,239)
(1027,693)
(1028,376)
(1029,725)
(1030,275)
(1031,628)
(1032,99)
(1033,154)
(1034,192)
(1035,950)
(1036,162)
(1037,274)
(1038,678)
(1039,717)
(1040,155)
(1041,311)
(1042,81)
(1043,77)
(1044,724)
(1045,2)
(1046,625)
(1047,257)
(1048,817)
(1049,916)
(1050,375)
(1051,381)
(1052,264)
(1053,728)
(1054,900)
(1055,165)
(1056,44)
(1057,372)
(1058,283)
(1059,413)
(1060,733)
(1061,203)
(1062,422)
(1063,596)
(1064,265)
(1065,949)
(1066,766)
(1067,488)
(1068,405)
(1069,553)
(1070,410)
(1071,376)
(1072,225)
(1073,979)
(1074,695)
(1075,43)
(1076,1043)
(1077,61)
(1078,347)
(1079,1060)
(1080,30)
(1081,292)
(1082,352)
(1083,1080)
(1084,686)
(1085,404)
(1086,318)
(1087,202)
(1088,1005)
(1089,231)
(1090,841)
(1091,699)
(1092,13)
(1093,381)
(1094,460)
(1095,707)
(1096,135)
(1097,102)
(1098,659)
(1099,502)
(1100,411)
(1101,70)
(1102,1005)
(1103,279)
(1104,633)
(1105,618)
(1106,6)
(1107,224)
(1108,530)
(1109,586)
(1110,284)
(1111,30)
(1112,732)
(1113,31)
(1114,344)
(1115,703)
(1116,71)
(1117,655)
(1118,989)
(1119,433)
(1120,884)
(1121,829)
(1122,250)
(1123,145)
(1124,444)
(1125,254)
(1126,265)
(1127,791)
(1128,1016)
(1129,637)
(1130,344)
(1131,813)
(1132,484)
(1133,206)
(1134,31)
(1135,685)
(1136,1017)
(1137,203)
(1138,11)
(1139,374)
(1140,1036)
(1141,155)
(1142,461)
(1143,1053)
(1144,599)
(1145,445)
(1146,960)
(1147,856)
(1148,86)
(1149,195)
(1150,734)
(1151,369)
(1152,1042)
(1153,543)
(1154,151)
(1155,647)
(1156,1014)
(1157,203)
(1158,11)
(1159,990)
(1160,307)
(1161,117)
(1162,36)
(1163,262)
(1164,1161)
(1165,874)
(1166,35)
(1167,153)
(1168,1129)
(1169,38)
(1170,286)
(1171,120)
(1172,119)
(1173,788)
(1174,462)
(1175,471)
(1176,133)
(1177,429)
(1178,414)
(1179,829)
(1180,836)
(1181,32)
(1182,210)
(1183,553)
(1184,307)
(1185,58)
(1186,992)
(1187,367)
(1188,971)
(1189,34)
(1190,224)
(1191,279)
(1192,288)
(1193,854)
(1194,858)
(1195,301)
(1196,1091)
(1197,1005)
(1198,2)
(1199,836)
(1200,839)
(1201,256)
(1202,1)
(1203,467)
(1204,545)
(1205,5)
(1206,737)
(1207,122)
(1208,109)
(1209,384)
(1210,896)
(1211,483)
(1212,286)
(1213,665)
(1214,844)
(1215,286)
(1216,331)
(1217,703)
(1218,466)
(1219,93)
(1220,226)
(1221,580)
(1222,430)
(1223,271)
(1224,645)
(1225,1102)
(1226,844)
(1227,93)
(1228,670)
(1229,44)
(1230,590)
(1231,1032)
(1232,194)
(1233,606)
(1234,659)
(1235,242)
(1236,36)
(1237,370)
(1238,27)
(1239,849)
(1240,935)
(1241,674)
(1242,772)
(1243,347)
(1244,274)
(1245,1121)
(1246,560)
(1247,79)
(1248,1)
(1249,183)
(1250,1188)
(1251,979)
(1252,567)
(1253,744)
(1254,241)
(1255,759)
(1256,199)
(1257,1172)
(1258,37)
(1259,498)
(1260,2)
(1261,283)
(1262,253)
(1263,1010)
(1264,138)
(1265,1160)
(1266,741)
(1267,689)
(1268,678)
(1269,399)
(1270,82)
(1271,620)
(1272,177)
(1273,840)
(1274,746)
(1275,211)
(1276,274)
(1277,713)
(1278,1204)
(1279,523)
(1280,912)
(1281,475)
(1282,286)
(1283,955)
(1284,51)
(1285,513)
(1286,118)
(1287,119)
(1288,102)
(1289,467)
(1290,544)
(1291,319)
(1292,585)
(1293,344)
(1294,686)
(1295,518)
(1296,732)
(1297,917)
(1298,617)
(1299,857)
(1300,193)
(1301,94)
(1302,529)
(1303,1131)
(1304,773)
(1305,1200)
(1306,1276)
(1307,1029)
(1308,594)
(1309,595)
(1310,1160)
(1311,13)
(1312,1156)
(1313,884)
(1314,1174)
(1315,256)
(1316,106)
(1317,855)
(1318,702)
(1319,1)
(1320,447)
(1321,1039)
(1322,1094)
(1323,866)
(1324,950)
(1325,328)
(1326,1093)
(1327,1249)
(1328,527)
(1329,567)
(1330,188)
(1331,30)
(1332,782)
(1333,33)
(1334,270)
(1335,80)
(1336,680)
(1337,566)
(1338,1004)
(1339,32)
(1340,715)
(1341,1298)
(1342,520)
(1343,934)
(1344,1194)
(1345,835)
(1346,30)
(1347,1153)
(1348,1347)
(1349,586)
(1350,653)
(1351,749)
(1352,1105)
(1353,981)
(1354,342)
(1355,206)
(1356,461)
(1357,756)
(1358,128)
(1359,55)
(1360,92)
(1361,302)
(1362,226)
(1363,371)
(1364,1226)
(1365,1333)
